onset	duration	trial	classification	comments
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
0	0	0		
63236.619440625	4.923528	1	clean	1
63242.5537072917	5.165043	2	clean	2
63248.735540625	3.674616	3	clean	3
